"Region1.Type1.A","Region1.Type1.AA","Region1.Type1.AAA","Region1.Type1.BBB","Region1.Type2.A","Region1.Type2.AA","Region1.Type2.AAA","Region1.Type2.BBB","Region1.Type3.A","Region1.Type3.AA","Region1.Type3.AAA","Region1.Type3.BBB","Region2.Type3.A","Region2.Type3.AA","Region2.Type3.AAA","Region2.Type3.BBB","Region3.Type2.A","Region3.Type2.AA","Region3.Type2.AAA","Region3.Type2.BBB","Region3.Type4.A","Region3.Type4.AA","Region3.Type4.AAA","Region3.Type4.BBB"
0.003309844766735,0.00260003546894717,0.00113496313735971,0.00571546424803267,0.00615018926561605,0.00427041136238098,0.00239663250965912,0.0108731342092464,0.00375681470556405,0.00246217214307615,0.00119771408065999,0.00756282478385042,0.00356996829250309,0.00238647816297245,0.0011033030195081,0.00830267687411035,0.00805065083449402,0.00412676083414296,0.00236021857248615,0.0119095490443812,0.00303661575472806,0.0020233517577676,0.000963243136409432,0.0056235374618909
0.003309844766735,0.00260003546894717,0.00113657401325998,0.00571546424803267,0.00615018926561605,0.00427041136238098,0.00239991733587186,0.0108731342092464,0.00375565315753851,0.00246217214307615,0.00119677408114276,0.00756282478385042,0.00356670542340021,0.00238647816297245,0.0011033030195081,0.00830267687411035,0.00805065083449402,0.00412676083414296,0.00236021857248615,0.0119095490443812,0.00303661575472806,0.0020233517577676,0.000966674985987441,0.00562033860801706
0.00321389514859787,NA,0.00113004192976541,0.00565123389652899,0.00591633259214883,0.00403305574379129,0.00225689659680542,0.0105651894731693,0.00368511216806858,0.00242028812363129,0.00119402984593294,0.00755882562805045,0.0035332713821049,0.00232008616514656,0.0011033030195081,0.0083099266791778,0.0077641401278722,0.00402555965046303,0.00321690186358729,0.0120893889677095,0.0029833787489093,0.00198314394383433,0.000956634280088461,0.00541606969205325
0.00321242713152325,NA,0.00113334051399451,0.00564028073091277,0.00591633259214883,0.00402958791811725,0.00225689659680542,0.0105651894731693,0.00368342697206216,0.00242028812363129,0.00119221073916804,0.00755482297239519,0.00352996773788118,0.00232008616514656,0.00109992792082044,0.00830675292302488,0.0077641401278722,0.00402555965046303,0.00321308290734083,0.0120893889677095,0.0029795982015437,0.00198663661849351,0.000956634280088461,0.00542262309604163
0.00336242779073786,0.00261951813795427,0.00110845699560908,0.00570045597366932,0.00614973788592552,0.00424071474560768,0.00236335308665671,0.011338357481872,0.00358900320300974,0.00249691807180091,0.00119423740608606,0.00745008687255388,0.00363082220804407,0.00237273137644747,0.00112661604813951,0.00815179279589549,0.00613379622878796,0.0041265353339891,0.002366289941884,0.0119109342595635,0.00307321773453842,0.00202019872698458,0.00096664167952308,0.00564343644302909
0.00335813923659369,0.00261951813795427,0.00111813937412451,0.00569473158683167,0.00615358138659613,0.00424325671347886,0.00236335308665671,0.011338357481872,0.00349714277983897,0.00250041859162648,0.00118482161208435,0.00718005479288245,0.00362674019376885,0.00238011577730428,0.0011166016348139,0.00815179279589549,0.00615334222846015,0.0041265353339891,0.002366289941884,0.0119109342595635,0.00301335531403497,0.00200685190264596,0.00096664167952308,0.00561967855389453
0.00335813923659369,0.00261951813795427,0.00111991651440099,0.00569473158683167,0.00615358138659613,0.00424325671347886,0.00237322352820837,0.011338357481872,0.00366183072489499,0.00249835895151739,0.00118778654163477,0.00718005479288245,0.00364611234753158,0.00238011577730428,0.00112348174673728,0.00815179279589549,0.00615334222846015,0.0041265353339891,0.00238663676764331,0.0119109342595635,0.00301024356954788,0.00200685190264596,0.000983291970256415,0.00561967855389453
0.00335548319276594,0.00261951813795427,0.00113490153084944,0.00570053553302894,0.00614705374347417,0.00412312489480319,0.00234688475525864,0.0113050112157226,0.00365975407939747,0.00250026503516285,0.0011976359733205,0.00723505042710148,0.00364353553279476,0.00238667677973433,0.00111996155146336,0.00816255395134193,0.006157213166221,0.0041265353339891,0.00238663676764331,0.0119109342595635,0.00301024356954788,0.00200007820273812,0.000979989703986185,0.00561967855389453
0.00329169431573217,0.00261951813795427,0.00113490153084944,0.0070655607491264,0.00616299113132355,0.00391985609160186,0.00230662927786639,0.0112990660936737,0.00365843367440431,0.00249161293079832,0.00119384670886528,0.00721923876931591,0.00364353553279476,0.00236995106030546,0.0011265595209104,0.00813639243658956,0.006157213166221,0.00411312188602892,0.00240320851067327,0.0110417293661541,0.00301024356954788,0.00199665989806834,0.000983507133578526,0.00561262379975394
0.00329169431573217,0.00261951813795427,0.00113490153084944,0.00706439330472415,0.00616299113132355,0.00396664379462194,0.00229013566164144,0.011298864511211,0.00365585651947771,0.00246346851751472,0.00119605412226973,0.00721756606650215,0.00363680252295424,0.0023636330820302,0.0011265595209104,0.00813639243658956,0.006157213166221,0.00411312188602892,0.00257698882301252,0.0110417293661541,0.00301024356954788,0.00199665989806834,0.000969852596893403,0.00561262379975394
0.00329169431573217,0.00261951813795427,0.00113490153084944,0.00706439330472415,0.00616299113132355,0.00396664379462194,0.00228678440213495,0.011298864511211,0.00365585651947771,0.00246346851751472,0.00120181865186561,0.00721756606650215,0.00363680252295424,0.0023636330820302,0.00114682036823851,0.00813639243658956,0.006157213166221,0.00411312188602892,0.00257698882301252,0.0110417293661541,0.00301024356954788,0.00199665989806834,0.000969852596893403,0.00561262379975394
